date,tsi_1au,tsi_true_earth
2003-02-25,1361.4919,1389.202
2003-02-26,null,null
2003-02-27,1361.4594,1388.0933
2003-02-28,null,null
2003-03-01,null,null
2003-03-02,null,null
2003-03-03,null,null
2003-03-04,null,null
2003-03-05,1361.3077,1384.1028
2003-03-06,null,null
2003-03-07,1361.3627,1382.4496
2003-03-08,1361.3407,1381.9079
2003-03-09,1361.3395,1381.0869
2003-03-10,1361.3523,1380.4197
2003-03-11,1361.0813,1379.0548
2003-03-12,1360.9977,1378.4961
2003-03-13,1360.8018,1377.7426
2003-03-14,1360.5577,1376.5327
2003-03-15,1360.4809,1375.8144
2003-03-16,1360.4659,1375.1728
2003-03-17,1360.6904,1374.5045
2003-03-18,1360.9998,1374.0096
2003-03-19,1361.1619,1373.6
2003-03-20,1361.1993,1372.6633
2003-03-21,1361.1357,1371.8637
2003-03-22,1361.1263,1371.0556
2003-03-23,1361.1959,1370.3339
2003-03-24,1361.2667,1369.6174
2003-03-25,1361.3442,1368.8751
2003-03-26,1361.1909,1367.9211
2003-03-27,1360.83,1366.7914
2003-03-28,1360.7991,1365.9291
2003-03-29,1360.7617,1365.1201
2003-03-30,1360.7905,1364.3531
2003-03-31,1360.861,1363.6313
2003-04-01,1360.9344,1363.1398
2003-04-02,1361.1538,1361.961
2003-04-03,1361.1717,1361.5449
2003-04-04,1361.2362,1360.8635
2003-04-05,1361.2841,1360.1442
2003-04-06,1361.2595,1359.3457
2003-04-07,1361.1896,1358.5042
2003-04-08,1361.0478,1357.5732
2003-04-09,1360.9455,1356.8077
2003-04-10,1360.8501,1355.8915
2003-04-11,1360.9041,1355.2085
2003-04-12,1360.9939,1354.5135
2003-04-13,1361.1558,1353.9473
2003-04-14,1361.246,1353.2903
2003-04-15,1361.3153,1352.6757
2003-04-16,1361.2999,1351.8343
2003-04-17,1361.2567,1350.903
2003-04-18,1361.2765,1350.3102
2003-04-19,null,null
2003-04-20,1361.3756,1348.6805
2003-04-21,1361.3767,1348.0833
2003-04-22,1361.3466,1347.3276
2003-04-23,1361.2079,1346.3969
2003-04-24,1361.2574,1345.8009
2003-04-25,1361.1835,1344.991
2003-04-26,1361.1427,1344.2084
2003-04-27,1360.9449,1343.3089
2003-04-28,1360.7853,1342.4298
2003-04-29,1360.6071,1341.5302
2003-04-30,1360.2813,1340.549
2003-05-01,1360.0837,1339.7442
2003-05-02,1360.2103,1339.1102
2003-05-03,1360.4252,1338.6911
2003-05-04,1360.5853,1338.1948
2003-05-05,1360.7815,1337.718
2003-05-06,1360.9984,1337.2574
2003-05-07,1360.9968,1336.6736
2003-05-08,1360.9345,1335.971
2003-05-09,1361.0061,1335.4739
2003-05-10,1361.1262,1334.9903
2003-05-11,1361.1897,1334.4202
2003-05-12,1361.2108,1333.8922
2003-05-13,1361.1539,1333.2242
2003-05-14,1361.1465,1332.6878
2003-05-15,1361.2222,1332.1894
2003-05-16,1361.3138,1331.7105
2003-05-17,1361.4513,1331.279
2003-05-18,1361.5169,1330.7803
2003-05-19,1361.5267,1330.2842
2003-05-20,1361.5835,1330.0295
2003-05-21,1361.5929,1329.2561
2003-05-22,1361.7421,1328.7227
2003-05-23,1361.7718,1328.3752
2003-05-24,1361.7282,1327.8296
2003-05-25,1361.5232,1327.1323
2003-05-26,1361.2831,1326.4034
2003-05-27,1360.9889,1325.6157
2003-05-28,1360.8243,1325.0341
2003-05-29,1360.9982,1324.7523
2003-05-30,1361.1899,1324.5183
2003-05-31,1361.3003,1324.2588
2003-06-01,1361.2902,1323.7855
2003-06-02,1361.1922,1323.2674
2003-06-03,1361.0105,1322.7324
2003-06-04,1360.9318,1322.3016
2003-06-05,1360.8409,1321.8724
2003-06-06,1360.5192,1321.1762
2003-06-07,1360.4371,1320.8155
2003-06-08,1360.178,1320.2596
2003-06-09,1359.8754,1319.6677
2003-06-10,1359.9299,1319.3745
2003-06-11,1360.2437,1319.442
2003-06-12,1360.7326,1319.6461
2003-06-13,1361.1073,1319.7444
2003-06-14,1361.3953,1319.7789
2003-06-15,1361.5632,1319.6754
2003-06-16,1361.6379,1319.5033
2003-06-17,1361.6424,1319.2633
2003-06-18,1361.515,1318.9311
2003-06-19,1361.2929,1318.5216
2003-06-20,1361.0358,1318.0324
2003-06-21,1360.9754,1317.7908
2003-06-22,1361.0549,1317.6879
2003-06-23,1361.16,1317.6286
2003-06-24,1361.1687,1317.4648
2003-06-25,1361.1815,1317.3449
2003-06-26,1361.1901,1317.2249
2003-06-27,1361.2146,1317.1388
2003-06-28,1361.1232,1316.9554
2003-06-29,1361.1239,1316.8758
2003-06-30,1360.9902,1316.6805
2003-07-01,1360.8524,1316.4924
2003-07-02,1360.7693,1316.3828
